Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target,Failure Type
2,0.30434782608695343,0.3580246913580325,0.5264604810996563,0.5514705882352942,0.0,0,1
1,0.3152173913043441,0.3703703703703738,0.329896907216495,0.6158088235294118,0.011857707509881422,0,1
1,0.30434782608695343,0.3456790123456841,0.4536082474226806,0.6727941176470589,0.01976284584980237,0,1
1,0.3152173913043441,0.3580246913580325,0.36426116838487976,0.4908088235294118,0.02766798418972332,0,1
1,0.3152173913043441,0.3703703703703738,0.329896907216495,0.5,0.035573122529644265,0,1
2,0.30434782608695343,0.3580246913580325,0.35326460481099664,0.5349264705882353,0.043478260869565216,0,1
1,0.30434782608695343,0.3580246913580325,0.536082474226804,0.5441176470588236,0.05533596837944664,0,1
1,0.30434782608695343,0.3580246913580325,0.4934707903780069,0.5036764705882354,0.06324110671936758,0,1
2,0.3260869565217348,0.3703703703703738,0.6859106529209624,0.2904411764705882,0.07114624505928853,0,1
2,0.3478260869565162,0.4074074074074119,0.7876288659793818,0.27941176470588225,0.08300395256916995,0,1
0,0.3369565217391255,0.3950617283950635,0.8439862542955328,0.20404411764705868,0.09486166007905138,0,1
0,0.35869565217391397,0.4197530864197603,0.35051546391752586,0.5790441176470589,0.11462450592885375,0,1
2,0.35869565217391397,0.4197530864197603,0.23505154639175263,0.704044117647059,0.13438735177865613,0,1
2,0.35869565217391397,0.4320987654321016,0.7890034364261171,0.3161764705882353,0.14624505928853754,0,1
1,0.35869565217391397,0.4320987654321016,1.0,0.12499999999999986,0.15810276679841895,0,1
1,0.35869565217391397,0.4320987654321016,0.5140893470790378,0.6544117647058825,0.1660079051383399,0,1
2,0.35869565217391397,0.4320987654321016,0.19656357388316148,0.6213235294117648,0.17391304347826086,0,1
2,0.36956521739129755,0.4320987654321016,0.3326460481099658,0.6029411764705883,0.18577075098814227,0,1
0,0.38043478260869534,0.4320987654321016,0.18969072164948453,0.7665441176470589,0.1976284584980237,0,1
2,0.3913043478260789,0.44444444444444997,0.6378006872852233,0.3621323529411764,0.21739130434782608,0,1
0,0.3913043478260789,0.44444444444444997,0.2845360824742269,0.5496323529411765,0.2292490118577075,0,1
1,0.38043478260869534,0.44444444444444997,0.3876288659793816,0.5882352941176471,0.24901185770750986,0,1
2,0.3913043478260789,0.44444444444444997,0.5676975945017184,0.32904411764705876,0.2569169960474308,0,1
1,0.4021739130434767,0.45679012345679126,0.8109965635738834,0.23713235294117632,0.26877470355731226,0,1
2,0.4021739130434767,0.45679012345679126,0.5402061855670106,0.4503676470588235,0.27667984189723316,0,1
1,0.4021739130434767,0.46913580246913966,0.952577319587629,0.19301470588235284,0.2885375494071146,0,1
1,0.4130434782608674,0.46913580246913966,0.47285223367697604,0.4816176470588236,0.2964426877470355,0,1
0,0.4130434782608674,0.45679012345679126,0.8838487972508591,0.21691176470588228,0.3043478260869565,0,1
1,0.4130434782608674,0.45679012345679126,0.3725085910652921,0.5772058823529412,0.32411067193675885,0,1
1,0.4021739130434767,0.45679012345679126,0.7216494845360826,0.3180147058823529,0.3320158102766798,0,1
2,0.4130434782608674,0.46913580246913966,0.23505154639175263,0.6507352941176472,0.33992094861660077,0,1
1,0.4021739130434767,0.45679012345679126,0.865979381443299,0.23345588235294104,0.3517786561264822,0,1
1,0.4021739130434767,0.45679012345679126,0.3450171821305843,0.6525735294117647,0.35968379446640314,0,1
1,0.3913043478260789,0.44444444444444997,0.6831615120274916,0.3621323529411764,0.3675889328063241,0,1
2,0.38043478260869534,0.4197530864197603,0.5374570446735398,0.4025735294117647,0.37549407114624506,0,1
2,0.38043478260869534,0.4320987654321016,0.3903780068728524,0.6580882352941178,0.38735177865612647,0,1
2,0.3913043478260789,0.4320987654321016,0.5676975945017184,0.43933823529411775,0.3992094861660079,0,1
1,0.38043478260869534,0.4197530864197603,0.3725085910652921,0.4852941176470589,0.4110671936758893,0,1
0,0.3913043478260789,0.4320987654321016,0.29003436426116846,0.6966911764705884,0.41897233201581024,0,1
1,0.38043478260869534,0.4197530864197603,0.2501718213058419,0.729779411764706,0.4387351778656126,0,1
1,0.38043478260869534,0.4197530864197603,0.26666666666666683,0.599264705882353,0.44664031620553357,0,1
1,0.38043478260869534,0.4197530864197603,0.27491408934707917,0.698529411764706,0.45454545454545453,0,1
2,0.38043478260869534,0.4197530864197603,0.27491408934707917,0.667279411764706,0.4624505928853755,0,1
0,0.38043478260869534,0.4320987654321016,0.28041237113402073,0.6562500000000001,0.4743083003952569,0,1
2,0.38043478260869534,0.4197530864197603,0.41786941580756043,0.6378676470588236,0.49407114624505927,0,1
1,0.38043478260869534,0.4197530864197603,0.44123711340206206,0.667279411764706,0.5059288537549407,0,1
2,0.36956521739129755,0.4074074074074119,0.927835051546392,0.23897058823529402,0.5138339920948616,0,1
1,0.38043478260869534,0.4197530864197603,0.3436426116838489,0.6158088235294118,0.525691699604743,0,1
0,0.38043478260869534,0.4320987654321016,0.35326460481099664,0.755514705882353,0.533596837944664,0,1
2,0.3913043478260789,0.4320987654321016,0.33539518900343657,0.5753676470588236,0.5533596837944663,0,1
1,0.3913043478260789,0.4197530864197603,1.0,0.0,0.5652173913043478,1,3
1,0.3913043478260789,0.4197530864197603,0.29553264604811,0.7738970588235294,0.5731225296442687,0,1
0,0.38043478260869534,0.4074074074074119,0.4522336769759452,0.5698529411764706,0.5810276679841897,0,1
1,0.36956521739129755,0.4074074074074119,0.5457044673539522,0.4099264705882353,0.6007905138339921,0,1
1,0.36956521739129755,0.4074074074074119,0.7189003436426118,0.3180147058823529,0.608695652173913,0,1
1,0.38043478260869534,0.4197530864197603,0.47285223367697604,0.5128676470588236,0.616600790513834,0,1
1,0.38043478260869534,0.4197530864197603,0.4247422680412374,0.5441176470588236,0.6245059288537549,0,1
1,0.38043478260869534,0.4197530864197603,0.47422680412371143,0.5055147058823529,0.6324110671936758,0,1
2,0.38043478260869534,0.4074074074074119,0.6776632302405501,0.30698529411764697,0.6403162055335968,0,1
1,0.38043478260869534,0.4197530864197603,0.2886597938144331,0.7647058823529413,0.6521739130434783,0,1
1,0.38043478260869534,0.4197530864197603,0.30927835051546393,0.7316176470588237,0.6600790513833992,0,1
2,0.38043478260869534,0.4074074074074119,0.5828178694158077,0.46691176470588247,0.6679841897233201,0,1
1,0.38043478260869534,0.4074074074074119,0.9085910652920965,0.18566176470588222,0.6798418972332015,0,1
2,0.3913043478260789,0.4074074074074119,0.8852233676975945,0.24080882352941166,0.6877470355731224,0,1
1,0.4021739130434767,0.4197530864197603,0.48797250859106533,0.47426470588235303,0.6996047430830039,0,1
1,0.4021739130434767,0.4197530864197603,0.3106529209621993,0.5937500000000001,0.7075098814229248,0,1
2,0.3913043478260789,0.3950617283950635,0.7024054982817871,0.29227941176470584,0.7154150197628458,0,1
0,0.38043478260869534,0.3950617283950635,0.40962199312714764,0.5753676470588236,0.7272727272727272,0,1
1,0.38043478260869534,0.3950617283950635,0.4934707903780069,0.36029411764705876,0.7470355731225296,0,1
1,0.3913043478260789,0.4074074074074119,0.3326460481099658,0.9724264705882355,0.7549407114624506,1,3
2,0.3913043478260789,0.4074074074074119,1.0,0.1801470588235293,0.7628458498023715,0,1
1,0.3913043478260789,0.4197530864197603,0.3903780068728524,0.6011029411764707,0.7747035573122529,0,1
1,0.3913043478260789,0.4197530864197603,0.27628865979381456,0.5808823529411765,0.7826086956521738,0,1
1,0.4021739130434767,0.4197530864197603,0.5828178694158077,0.40808823529411764,0.7905138339920948,0,1
1,0.3913043478260789,0.4074074074074119,0.5951890034364262,0.3584558823529411,0.7984189723320158,0,1
1,0.38043478260869534,0.3950617283950635,0.29003436426116846,0.6231617647058825,0.8063241106719367,0,1
1,0.38043478260869534,0.3950617283950635,0.4027491408934707,0.6452205882352942,0.8142292490118577,0,1
1,0.38043478260869534,0.3950617283950635,0.39450171821305835,0.5238970588235294,0.8221343873517786,1,5
1,0.38043478260869534,0.3950617283950635,0.3161512027491409,0.7113970588235295,0.0,0,1
1,0.38043478260869534,0.3950617283950635,0.32164948453608244,0.46139705882352944,0.007905138339920948,0,1
0,0.38043478260869534,0.3827160493827222,0.38075601374570445,0.6819852941176472,0.015810276679841896,0,1
1,0.3913043478260789,0.3950617283950635,0.3876288659793816,0.6378676470588236,0.035573122529644265,0,1
1,0.3913043478260789,0.3950617283950635,0.3917525773195878,0.5147058823529411,0.043478260869565216,0,1
1,0.4021739130434767,0.4074074074074119,0.4137457044673538,0.5018382352941178,0.05138339920948616,0,1
1,0.3913043478260789,0.3950617283950635,0.34914089347079047,0.6397058823529412,0.05928853754940711,0,1
2,0.4021739130434767,0.4074074074074119,0.8742268041237113,0.25735294117647045,0.06719367588932806,0,1
0,0.4021739130434767,0.4074074074074119,0.36838487972508593,0.5716911764705883,0.07905138339920947,0,1
1,0.4021739130434767,0.4074074074074119,0.5168384879725085,0.3492647058823529,0.09881422924901186,0,1
2,0.4021739130434767,0.4074074074074119,0.3450171821305843,0.5955882352941178,0.1067193675889328,0,1
2,0.3913043478260789,0.3950617283950635,0.4384879725085913,0.4908088235294118,0.11857707509881422,0,1
1,0.3913043478260789,0.3950617283950635,0.8041237113402064,0.23897058823529402,0.13043478260869565,0,1
1,0.3913043478260789,0.3950617283950635,0.9099656357388319,0.22242647058823514,0.13833992094861658,0,1
2,0.3913043478260789,0.3950617283950635,0.7683848797250858,0.2628676470588235,0.14624505928853754,0,1
1,0.4130434782608674,0.4074074074074119,0.3876288659793816,0.5551470588235294,0.15810276679841895,0,1
1,0.4021739130434767,0.3950617283950635,0.6240549828178694,0.35110294117647056,0.1660079051383399,0,1
2,0.4021739130434767,0.4074074074074119,0.2515463917525773,0.7242647058823531,0.17391304347826086,0,1
2,0.4021739130434767,0.4074074074074119,0.5594501718213061,0.41360294117647056,0.18577075098814227,0,1
2,0.3913043478260789,0.3950617283950635,0.8000000000000003,0.31433823529411753,0.1976284584980237,0,1
1,0.3913043478260789,0.3827160493827222,0.4962199312714777,0.3658088235294118,0.20948616600790512,0,1
1,0.38043478260869534,0.3827160493827222,0.48797250859106533,0.5808823529411765,0.21739130434782608,0,1
1,0.38043478260869534,0.3950617283950635,0.9402061855670105,0.22426470588235284,0.225296442687747,0,1
1,0.38043478260869534,0.3827160493827222,1.0,0.14522058823529396,0.23320158102766797,0,1
1,0.38043478260869534,0.3827160493827222,0.5319587628865978,0.511029411764706,0.24110671936758893,0,1
2,0.38043478260869534,0.3827160493827222,0.3752577319587629,0.5091911764705883,0.24901185770750986,0,1
1,0.38043478260869534,0.3703703703703738,0.3876288659793816,0.5625,0.2608695652173913,0,1
1,0.38043478260869534,0.3703703703703738,0.5814432989690723,0.33639705882352944,0.26877470355731226,0,1
1,0.38043478260869534,0.3703703703703738,0.38075601374570445,0.6562500000000001,0.27667984189723316,0,1
2,0.38043478260869534,0.3827160493827222,0.4522336769759452,0.625,0.2845849802371541,0,1
0,0.3913043478260789,0.3827160493827222,0.622680412371134,0.3658088235294118,0.2964426877470355,0,1
1,0.3913043478260789,0.3703703703703738,0.5553264604810999,0.3915441176470589,0.3162055335968379,0,1
